Eisean	Pron:Pers:3P:Sg:Masc:Emph	eisean
sinsir	Noun:Masc:Com:Pl	sinsear
a	Det:Poss:3P:Sg:Masc	a
mháthair	Noun:Fem:Com:Sg:Len	máthair
.	Punct:Fin	.
Ar	Prep:Simp	ar
na	Art:Pl:Def	na
rudaí	Noun:Masc:Com:Pl:Def	rud
a	Part:Vb:Rel:Direct	a
bhí	Verb:PastInd:Len	bí
ar	Prep:Simp	ar
ceant	Noun:Masc:Com:Sg	ceant
bhí	Verb:PastInd:Len	bí
Turas	Noun:Masc:Com:Sg	turas
ar	Prep:Simp	ar
bord	Noun:Masc:Com:Sg	bord
an	Art:Sg:Def	an
Orient	Prop:Noun:Masc:Com:Sg	Orient
Express	Prop:Noun:Masc:Com:Sg	Express
agus	Conj:Coord	agus
deireadh	Noun:Masc:Com:Sg	deireadh
seachtaine	Noun:Fem:Gen:Sg	seachtain
do	Prep:Simp	do
bheirt	Noun:Fem:Com:Sg:Len	beirt
sa	Prep:Art:Sg	i
K	Abr	K
Club	Noun:Masc:Gen:Sg	club
.	Punct:Fin	.
'	Punct:Quo	'
Ar	Part:Vb:Q:Past	ar
thug	Verb:VTI:PastInd:Len	tabhair
tú	Pron:Pers:2P:Sg	tú
taisléine	Noun:Fem:Com:Sg	taisléine
nó	Conj:Coord	nó
brat	Noun:Masc:Com:Sg	brat
áise	Noun:Fem:Gen:Sg	áis
nó	Conj:Coord	nó
aon	Det:Qty:Idf	aon
ní	Noun:Masc:Com:Sg	ní
den	Prep:Art:Sg	de
tsórt	Noun:Fem:Com:Sg:DefArt	tsórt
leat	Pron:Prep:2P:Sg	le
,	Punct:Int	,
a	Part:Voc	a
naofacht	Noun:Fem:Voc:Sg:Len	naofacht
?	?	?
'	Punct:Quo	'
Dhera	Prop:Noun:Masc:Com:Sg	Dhera
,	Punct:Int	,
mo	Det:Poss:1P:Sg	mo
thrua	Noun:Fem:Com:Sg:Len	trua
mhór	Adj:Fem:Com:Sg	mór
sibh	Pron:Pers:2P:Pl	sibh
,	Punct:Int	,
'	Punct:Quo	'
arsa	Verb:PastInd	arsa
an	Art:Sg:Def	an
Mórach	Prop:Noun:Masc:Com:Sg	Mórach
,	Punct:Int	,
'	Punct:Quo	'
ná	Conj:Subord	ná
raibh	Verb:PastInd:Dep:Ecl	bí
naonúr	Noun:Masc:Com:Sg	naonúr
acu	Pron:Prep:3P:Pl	ag
ag	Prep:Simp	ag
mo	Det:Poss:1P:Sg	mo
mháthairse	Noun:Fem:Com:Sg:Len:Emph	máthair
,	Punct:Int	,
agus	Conj:Coord	agus
ná	Conj:Subord	ná
fuair	Verb:VT:PastInd	faigh
sí	Pron:Pers:3P:Sg:Fem:Sbj	sí
ainm	Noun:Masc:Com:Sg	ainm
dos	Prep:Simp	dos
gach	Det:Qty:Def	gach
aoinne	Noun:Masc:Com:Sg	inne
acu	Pron:Prep:3P:Pl	ag
!	!	!
Is	Cop:Pres	is
de	Prep:Simp	de
bharr	Noun:Masc:Com:Sg:Len	barr
a	Det:Poss:3P:Sg:Masc	a
chontúirt	Noun:Fem:Com:Sg:Len	contúirt
don	Prep:Art:Sg	do
neodracht	Noun:Fem:Com:Sg	neodracht
mhíleata	Adj:Fem:Com:Sg	míleata
is	Part:Sup	is
mó	Adj:Comp	mór
a	Part:Vb:Rel:Direct	a
bhí	Verb:PastInd:Len	bí
imní	Noun:Fem:Com:Sg	imní
,	Punct:Int	,
sin	Pron:Dem	sin
agus	Conj:Coord	agus
an	Art:Sg:Def	an
tslí	Noun:Fem:Com:Sg:DefArt	slí
shotalach	Adj:Fem:Com:Sg	sotalach
ar	Part:Vb:Rel:Indirect:Past	ar
chaith	Verb:VTI:PastInd:Len	caith
na	Art:Pl:Def	na
páirtithe	Noun:Masc:Com:Pl:DefArt	páirtí
,	Punct:Int	,
na	Art:Pl:Def	na
ceardchumainn	Noun:Masc:Com:Pl:DefArt	ceardchumann
,	Punct:Int	,
eagras	Noun:Masc:Com:Sg	eagras
na	Art:Gen:Sg:Def:Fem	na
bhfostóirí	Noun:Masc:Gen:Strong:Pl:DefArt	fostóir
,	Punct:Int	,
agus	Conj:Coord	agus
an	Art:Sg:Def	an
Cliarlathas	Noun:Masc:Com:Sg:DefArt	cliarlathas
Caitliceach	Adj:Masc:Com:Sg	Caitliceach
leis	Pron:Prep:3P:Sg:Masc	le
an	Art:Sg:Def	an
bpobal	Noun:Masc:Gen:Weak:Pl:DefArt	pobal
tráth	Noun:Masc:Com:Sg	tráth
an	Art:Sg:Def	an
Reifrinn	Noun:Masc:Gen:Sg:DefArt	reifreann
.	Punct:Fin	.
Is	Cop:Pres	is
léir	Adj:Base	léir
ón	Prep:Art:Sg	ó
teideal	Noun:Masc:Com:Sg	teideal
go	Part:Vb:Cmpl	go
bhfuil	Verb:PresInd:Dep:Ecl	bí
draíocht	Noun:Fem:Com:Sg	draíocht
i	Prep:Simp	i
gceist	Noun:Fem:Com:Sg:Ecl	ceist
sa	Prep:Art:Sg	i
dráma	Noun:Masc:Com:Sg:DefArt	dráma
seo	Det:Dem	seo
.	Punct:Fin	.
Bíonn	Verb:PresImp	bí
suas	Adv:Dir	suas
le	Prep:Simp	le
céad	Num:Card	céad
cineál	Noun:Masc:Com:Sg	cineál
éagsúil	Adj:Masc:Com:Sg	éagsúil
aimsire	Noun:Fem:Gen:Sg	aimsir
agus	Conj:Coord	agus
feiniméan	Noun:Masc:Com:Sg	feiniméan
aimsire	Noun:Fem:Gen:Sg	aimsir
san	Prep:Art:Sg	i
áireamh	Noun:Masc:Com:Sg	áireamh
ag	Prep:Simp	ag
meitéareolaithe	Noun:Masc:Com:Pl	meitéareolaí
,	Punct:Int	,
ón	Prep:Art:Sg	ó
gceobhrán	Noun:Masc:Com:Sg:Ecl	ceobhrán
go	Part:Vb:Subj	go
dtí	Verb:VI:PresSubj:Ecl	tar
tornádónna	Noun:Masc:Com:Pl	tornádó
.	Punct:Fin	.
Glacann	Verb:VT:PresInd	glac
an	Art:Sg:Def	an
tsamhail	Noun:Fem:Com:Sg:DefArt	samhail
leis	Pron:Prep:3P:Sg:Masc	le
mar	Prep:Simp	mar
bhunphointe	Noun:Masc:Com:Sg:Len	bunphointe
tosaigh	Noun:Masc:Gen:Sg	tosach
go	Part:Vb:Cmpl	go
ndéileálfaí	Verb:VI:Cond:Auto:Ecl	déileáil
de	Prep:Simp	de
réir	Noun:Fem:Com:Sg:Len	réir
eagair	Noun:Masc:Gen:Sg	eagar
le	Prep:Simp	le
riachtanais	Noun:Masc:Com:Pl	riachtanas
oideachais	Noun:Masc:Gen:Sg	oideachas
dhaltaí	Noun:Masc:Gen:Strong:Pl:Len	dalta
na	Art:Gen:Sg:Def:Fem	na
Gaeltachta	Noun:Fem:Gen:Sg:DefArt	gaeltacht
nach	Part:Vb:Neg:Rel	nach
bhfuil	Verb:PresInd:Dep:Ecl	bí
a	Det:Poss:3P:Pl	a
lánchumas	Noun:Masc:Com:Sg:Ecl	lánchumas
á	Prep:Poss:3P:Sg:Masc:Obj	do
bhaint	Verbal:Noun:VTI:Len	baint
amach	Adv:Dir	amach
acu	Pron:Prep:3P:Pl	ag
.	Punct:Fin	.
Anne-Marie	Prop:Noun:Fem:Com:Sg	Anne-Marie
Nic	Part:Pat	nic
Dhonncha	Prop:Noun:Masc:Com:Sg:Len	Donncha
Bean	Prop:Noun:Masc:Com:Sg	Bean
phósta	Adj:Base:Len	pósta
agus	Conj:Coord	agus
máthair	Noun:Fem:Com:Sg	máthair
Anne-Marie	Prop:Noun:Fem:Com:Sg	Anne-Marie
a	Part:Vb:Rel:Direct	a
chasann	Verb:VTI:PresInd:Len	cas
pubcheol	Noun:Masc:Com:Sg	ceol
rithimiúil	Adj:Masc:Com:Sg	rithimiúil
Chonamara	Prop:Noun:Masc:Gen:Sg:Len	Conamara
go	Part:Ad	go
gairmiúil	Adj:Base	gairmiúil
.	Punct:Fin	.
1992	Num:Dig	1992
:	Punct:Int	:
D'	Part:Vb	do
fhógair	Verb:PastInd:Len	fógair
preasoifig	Noun:Fem:Com:Sg	preasoifig
na	Art:Gen:Sg:Def:Fem	na
hEaglaise	Noun:Fem:Gen:Sg:Def	eaglais
Caitlicí	Adj:Fem:Gen:Sg	Caitliceach
go	Part:Vb:Cmpl	go
raibh	Verb:PastInd:Dep:Ecl	bí
Easpag	Noun:Masc:Com:Sg	easpag
na	Art:Gen:Sg:Def:Fem	na
Gaillimhe	Prop:Noun:Fem:Gen	Gaillimh
,	Punct:Int	,
Éamonn	Noun:Masc:Com:Sg	éamonn
Casey	Prop:Noun:Fam	Casey
,	Punct:Int	,
i	Prep:Simp	i
ndiaidh	Subst:Noun:Sg:Ecl	diaidh
éirí	Verbal:Noun:VI	éirí
as	Prep:Simp	as
de	Prep:Simp	de
thairbhe	Noun:Fem:Com:Sg:Len	tairbhe
'	Punct:Quo	'
cúiseanna	Noun:Fem:Com:Pl	cúis
pearsanta	Adj:Com:NotSlen:Pl	pearsanta
'	Punct:Quo	'
.	Punct:Fin	.
Na	Art:Pl:Def	na
focail	Noun:Masc:Com:Pl:DefArt	focal
seo	Det:Dem	seo
a	Part:Vb:Rel:Direct	a
bhí	Verb:PastInd:Len	bí
ina	Prep:Poss:3P:Pl	i
bhfochaisí	Noun:Fem:Com:Pl:Ecl	fochais
trioblóideacha	Adj:Com:NotSlen:Pl	trioblóideach
tráth	Noun:Masc:Com:Sg	tráth
.	Punct:Fin	.
I	Prep:Simp	I
measc	Noun:Masc:Com:Sg	measc
na	Art:Pl:Def	na
ndaoine	Noun:Masc:Gen:Strong:Pl:DefArt	duine
fásta	Verbal:Adj	fásta
sna	Prep:Art:Pl	i
tithe	Noun:Masc:Com:Pl	teach
bothántaíochta	Noun:Fem:Gen:Sg	bothántaíocht
a	Part:Vb:Rel:Direct	a
chloiseadh	Verb:VTI:PastImp:Len	clois
an	Art:Sg:Def	an
t-aos	Noun:Masc:Com:Sg:DefArt	aos
óg	Adj:Fem:Com:Sg	óg
scéalta	Noun:Masc:Com:Pl	scéal
uaireanta	Adv:Gn	uaireanta
.	Punct:Fin	.
Agus	Conj:Coord	agus
ranganna	Noun:Masc:Com:Pl	rang
seiteanna	Noun:Masc:Gen:Strong:Pl	seit
agus	Conj:Coord	agus
céilí	Noun:Masc:Gen:Strong:Pl	céile
do	Prep:Simp	do
dhaoine	Noun:Masc:Com:Pl:Len	duine
fásta	Verbal:Adj	fásta
gach	Det:Qty:Def	gach
oíche	Noun:Fem:Com:Sg	oíche
Dé	Subst:Noun:Sg	Dé
Luain	Noun:Masc:Gen:Sg	luain
ag	Prep:Simp	ag
8.30	Num:Dig	8.30
.	Punct:Fin	.
Rinne	Verb:VTI:PastInd	déan
an	Art:Sg:Def	an
t-athair	Noun:Masc:Com:Sg:DefArt	athair
iarraidh	Noun:Fem:Com:Sg	iarraidh
tabhairt	Verbal:Noun:VTI	tabhairt
ar	Prep:Simp	ar
an	Art:Sg:Def	an
Iarla	Prop:Noun:Masc:Com:Sg	Iarla
dearmad	Noun:Masc:Com:Sg	dearmad
a	Part:Inf	a
dhéanamh	Verbal:Noun:VTI:Len	déanamh
den	Prep:Art:Sg	de
nós	Noun:Masc:Com:Sg:DefArt	nós
ársa	Adj:Masc:Com:Sg	ársa
seo	Det:Dem	seo
ach	Conj:Subord	ach
ní	Part:Vb:Neg	ní
raibh	Verb:PastInd:Dep:Neg:Len	bí
maith	Noun:Fem:Com:Sg	maith
ann	Pron:Prep:3P:Sg:Masc	i
.	Punct:Fin	.
Ní	Cop:Pres:Neg	is
cosúil	Adj:Base	cosúil
go	Part:Vb:Cmpl	go
raibh	Verb:PastInd:Dep:Ecl	bí
mórán	Noun:Masc:Com:Sg	mórán
le	Prep:Simp	le
cois	Noun:Fem:Dat:Sg	cos
dhá	Num:Card	dó
scór	Noun:Masc:Com:Sg	scór
uilig	Det:Qty	uile
acu	Pron:Prep:3P:Pl	ag
istigh	Adv:Dir	istigh
-	Punct:Bar	-
bhí	Verb:PastInd:Len	bí
100	Num:Dig	100
i	Prep:Simp	i
nGaillimh	Prop:Noun:Fem:Com:Sg:Ecl	Gaillimh
.	Punct:Fin	.
Titeann	Verb:VI:PresInd	tit
an	Art:Sg:Def	an
dorchadas	Noun:Masc:Com:Sg:DefArt	dorchadas
de	Prep:Simp	de
gheit	Noun:Fem:Com:Sg:Len	geit
.	Punct:Fin	.
Bhí	Verb:PastInd:Len	bí
máthair	Noun:Fem:Com:Sg	máthair
Jamesie	Prop:Noun:Masc:Com:Sg	Jamesie
ag	Prep:Simp	ag
éirí	Verbal:Noun	éirí
ar	Prep:Simp	ar
mire	Noun:Fem:Com:Sg	mire
gur	Cop:Past:Dep	is
tubaist	Noun:Fem:Com:Sg	tubaist
éigin	Adj:Fem:Com:Sg	éigin
trom	Adj:Base	trom
a	Part:Vb:Rel:Direct	a
bhain	Verb:VTI:PastInd:Len	bain
dóibh	Pron:Prep:3P:Pl	do
.	Punct:Fin	.
Chonaic	Verb:VTI:PastInd:Len	feic
mise	Pron:Pers:1P:Sg:Emph	mise
mo	Det:Poss:1P:Sg	mo
chreach	Noun:Fem:Com:Sg:Len	creach
is	Conj:Coord	agus
mo	Det:Poss:1P:Sg	mo
chrá	Verbal:Noun:Len	crá
iad	Pron:Pers:3P:Pl	iad
Is	Conj:Coord	agus
níl	Verb:PresInd:Neg	bí
dhá	Pron:Prep:3P:Sg	do
bharr	Noun:Masc:Com:Sg:Len	barr
a'm	Pron:Prep:1P:Sg	ag
ach	Conj:Subord	ach
cnámha	Noun:Fem:Com:Pl	cnámh
tinn	Adj:Masc:Com:Sg	tinn
,	Punct:Int	,
I	Prep:Simp	I
gcónaí	Noun:Masc:Com:Sg:Ecl	cónaí
ag	Prep:Simp	ag
faire	Verbal:Noun	faire
orthu	Pron:Prep:3P:Pl	ar
nach	Cop:Pres:NegQ	is
bocht	Adj:Base	bocht
an	Art:Sg:Def	an
cás	Noun:Masc:Com:Sg:DefArt	cás
é	Pron:Pers:3P:Sg:Masc	é
A	Part:Inf	a
bheith	Verbal:Noun:Len	bheith
ar	Prep:Simp	ar
garda	Noun:Masc:Com:Sg	garda
de	Prep:Simp	de
ló	Noun:Masc:Com:Sg	lá
is	Conj:Coord	agus
d'	Prep:Simp	de
oíche	Noun:Fem:Com:Sg	oíche
.	Punct:Fin	.
Ní	Cop:Pres:Neg	is
fios	Noun:Masc:Com:Sg	fios
domsa	Pron:Prep:1P:Sg:Emph	do
conas	Adv:Q	conas
,	Punct:Int	,
ná	Conj:Coord	ná
cén	Pron:Q:Art:Sg	cé
fáth	Noun:Masc:Com:Sg	fáth
,	Punct:Int	,
ach	Conj:Subord	ach
roimh	Prep:Simp	roimh
thitim	Noun:Fem:Com:Sg:Len	titim
na	Art:Gen:Sg:Def:Fem	na
hoíche	Noun:Fem:Gen:Sg:DefArt	oíche
bhíos	Verb:PastInd:1P:Sg:Len	bí
